text,intent,intent_name,n_tokens,language,clean_text,n_orig,n_clean,reduccion
what's the nutritional info for spaghetti,5,nutrition_info,6.0,en,nutritional info spaghetti,6,3,50.0
what's the nutritional info for pizza,5,nutrition_info,6.0,en,nutritional info pizza,6,3,50.0
how healthy are potato skins,5,nutrition_info,5.0,en,how healthy potato skin,5,4,20.0
how healthy is spaghetti,5,nutrition_info,4.0,en,how healthy spaghetti,4,3,25.0
share the nutrition info for brownies with me,5,nutrition_info,8.0,en,share nutrition info brownie,8,4,50.0
share the nutrition info for french fries with me,5,nutrition_info,9.0,en,share nutrition info french fry,9,5,44.44444444444444
what's the nutritional info for potato skins,5,nutrition_info,7.0,en,nutritional info potato skin,7,4,42.857142857142854
what's the nutritional info for lasagna,5,nutrition_info,6.0,en,nutritional info lasagna,6,3,50.0
how healthy are french fries,5,nutrition_info,5.0,en,how healthy french fry,5,4,20.0
share the nutrition info for spaghetti with me,5,nutrition_info,8.0,en,share nutrition info spaghetti,8,4,50.0
share the nutrition info for cake with me,5,nutrition_info,8.0,en,share nutrition info cake,8,4,50.0
what's the nutritional info for french fries,5,nutrition_info,7.0,en,nutritional info french fry,7,4,42.857142857142854
how healthy is tomato soup,5,nutrition_info,5.0,en,how healthy tomato soup,5,4,20.0
share the nutrition info for pizza with me,5,nutrition_info,8.0,en,share nutrition info pizza,8,4,50.0
what do you know to be the nutritional info for macaroni and cheese to be,5,nutrition_info,15.0,en,know nutritional info macaroni cheese,15,5,66.66666666666666
the nutritional info for macaroni and cheese is what,5,nutrition_info,9.0,en,nutritional info macaroni cheese,9,4,55.55555555555556
can you read to me the nutritional info for macaroni and cheese,5,nutrition_info,12.0,en,read nutritional info macaroni cheese,12,5,58.333333333333336
do you know the nutritional info for macaroni and cheese,5,nutrition_info,10.0,en,know nutritional info macaroni cheese,10,5,50.0
can you remember the nutritional info for macaroni and cheese,5,nutrition_info,10.0,en,remember nutritional info macaroni cheese,10,5,50.0
is it healthy to eat pizza,5,nutrition_info,6.0,en,healthy eat pizza,6,3,50.0
is pizza healthy,5,nutrition_info,3.0,en,pizza healthy,3,2,33.33333333333333
how healthy is pizza,5,nutrition_info,4.0,en,how healthy pizza,4,3,25.0
could pizza be healthy,5,nutrition_info,4.0,en,pizza healthy,4,2,50.0
is pizza considered healthy,5,nutrition_info,4.0,en,pizza consider healthy,4,3,25.0
"i'd like to know the nutritional content of eggs, please",5,nutrition_info,10.0,en,like know nutritional content egg,10,5,50.0
what's the nutrition content of chicken nuggets,5,nutrition_info,7.0,en,nutrition content chicken nugget,7,4,42.857142857142854
give me the nutrition facts for chicken breast,5,nutrition_info,8.0,en,nutrition fact chicken breast,8,4,50.0
what's the nutritional information for steak,5,nutrition_info,6.0,en,nutritional information steak,6,3,50.0
can you tell me the nutritional content of chicken nuggets,5,nutrition_info,10.0,en,tell nutritional content chicken nugget,10,5,50.0
what's the nutritional information of iceberg lettuce,5,nutrition_info,7.0,en,nutritional information iceberg lettuce,7,4,42.857142857142854
what kind of nutritional content do carrots have,5,nutrition_info,8.0,en,kind nutritional content carrot,8,4,50.0
nutritional information for celery,5,nutrition_info,4.0,en,nutritional information celery,4,3,25.0
what are the nutritional facts of waffles,5,nutrition_info,7.0,en,nutritional fact waffle,7,3,57.14285714285714
can you tell me the nutrition info for pork sausage,5,nutrition_info,10.0,en,tell nutrition info pork sausage,10,5,50.0
what's the nutritional info for an apple,5,nutrition_info,7.0,en,nutritional info apple,7,3,57.14285714285714
what's the nutritional info for chicken breast,5,nutrition_info,7.0,en,nutritional info chicken breast,7,4,42.857142857142854
what's the nutritional info for a banana,5,nutrition_info,7.0,en,nutritional info banana,7,3,57.14285714285714
what's the nutritional info for a cheeseburger,5,nutrition_info,7.0,en,nutritional info cheeseburger,7,3,57.14285714285714
what's the nutritional info for a loaf of bread,5,nutrition_info,9.0,en,nutritional info loaf bread,9,4,55.55555555555556
mashed potato's nutrition,5,nutrition_info,3.0,en,mashed potato nutrition,3,3,0.0
nutrition information of mashed potatoes,5,nutrition_info,5.0,en,nutrition information mashed potato,5,4,20.0
what are the nutritional data for mashed potatoes,5,nutrition_info,8.0,en,nutritional datum mashed potato,8,4,50.0
are mashed potatoes good nutrition,5,nutrition_info,5.0,en,mashed potato good nutrition,5,4,20.0
give me the nutritional information for mashed potatoes,5,nutrition_info,8.0,en,nutritional information mashed potato,8,4,50.0
how healthy are apples,5,nutrition_info,4.0,en,how healthy apple,4,3,25.0
i want to know if pizza is healthy,5,nutrition_info,8.0,en,want know pizza healthy,8,4,50.0
can you tell me how healthy apples are,5,nutrition_info,8.0,en,tell how healthy apple,8,4,50.0
are pasta dishes healthy,5,nutrition_info,4.0,en,pasta dish healthy,4,3,25.0
do you know the nutrition facts for grapes,5,nutrition_info,8.0,en,know nutrition fact grape,8,4,50.0
i must know the nutritional info for grapes,5,nutrition_info,8.0,en,know nutritional info grape,8,4,50.0
grapes have what kind of nutritional facts,5,nutrition_info,7.0,en,grape kind nutritional fact,7,4,42.857142857142854
tell me the nutrition for grapes,5,nutrition_info,6.0,en,tell nutrition grape,6,3,50.0
can you show me the nutrition facts for grapes,5,nutrition_info,9.0,en,nutrition fact grape,9,3,66.66666666666666
i want to know the nutrition info for chicken nuggets,5,nutrition_info,10.0,en,want know nutrition info chicken nugget,10,6,40.0
tell me the nutritional information for chicken nuggets,5,nutrition_info,8.0,en,tell nutritional information chicken nugget,8,5,37.5
"nutrition information for chicken nuggets, please",5,nutrition_info,6.0,en,nutrition information chicken nugget,6,4,33.33333333333333
