text,intent,intent_name,n_tokens,language,clean_text,n_orig,n_clean,reduction
¿Cuál es la información nutricional de los espaguetis?,5,nutrition_info,6.0,es,ser informacion nutricional espaguetis,8,4,50.0
¿Cuál es la información nutricional de la pizza?,5,nutrition_info,6.0,es,ser informacion nutricional piza,8,4,50.0
¿Qué tan saludables son las pieles de papa?,5,nutrition_info,5.0,es,saludable ser piel patata,8,4,50.0
¿Qué tan saludables son los espaguetis?,5,nutrition_info,4.0,es,saludable ser espaguetis,6,3,50.0
comparte conmigo la información nutricional de los brownies,5,nutrition_info,8.0,es,compartir informacion nutricional browni,8,4,50.0
comparte conmigo la información nutricional de las papas fritas,5,nutrition_info,9.0,es,compartir informacion nutricional patata fritas,9,5,44.44444444444444
¿Cuál es la información nutricional de la piel de papa?,5,nutrition_info,7.0,es,ser informacion nutricional piel patata,10,5,50.0
¿Cuál es la información nutricional de lasaña?,5,nutrition_info,6.0,es,ser informacion nutricional lasana,7,4,42.857142857142854
que tan saludables son las papas fritas,5,nutrition_info,5.0,es,saludable ser patata fritas,7,4,42.857142857142854
comparte conmigo la información nutricional de los espaguetis,5,nutrition_info,8.0,es,compartir informacion nutricional espaguetis,8,4,50.0
comparte conmigo la información nutricional del pastel,5,nutrition_info,8.0,es,compartir informacion nutricional pastel,7,4,42.857142857142854
cual es la información nutricional de las papas fritas,5,nutrition_info,7.0,es,ser informacion nutricional patata fritas,9,5,44.44444444444444
¿Qué tan saludable es la sopa de tomate?,5,nutrition_info,5.0,es,saludable ser sopa tomate,8,4,50.0
comparte conmigo la información nutricional de la pizza,5,nutrition_info,8.0,es,compartir informacion nutricional piza,8,4,50.0
¿Cuál sabes que es la información nutricional de los futuros macarrones con queso?,5,nutrition_info,15.0,es,ser informacion nutricional futuro macarron queso,13,6,53.84615384615385
la información nutricional de los macarrones con queso es lo que,5,nutrition_info,9.0,es,informacion nutricional macarron queso ser,11,5,54.54545454545454
¿Puedes leerme la información nutricional de los macarrones con queso?,5,nutrition_info,12.0,es,leer yo informacion nutricional macarron queso,10,6,40.0
¿Conoces la información nutricional de los macarrones con queso?,5,nutrition_info,10.0,es,conoz informacion nutricional macarron queso,9,5,44.44444444444444
¿Puedes recordar la información nutricional de los macarrones con queso?,5,nutrition_info,10.0,es,recordar informacion nutricional macarron queso,10,5,50.0
¿Es saludable comer pizza?,5,nutrition_info,6.0,es,ser saludable comer piza,4,4,0.0
¿La pizza es saludable?,5,nutrition_info,3.0,es,piza ser saludable,4,3,25.0
¿Qué tan saludable es la pizza?,5,nutrition_info,4.0,es,saludable ser piza,6,3,50.0
¿Podría la pizza ser saludable?,5,nutrition_info,4.0,es,piza ser saludable,5,3,40.0
¿La pizza se considera saludable?,5,nutrition_info,4.0,es,piza considerar saludable,5,3,40.0
Me gustaría saber el contenido nutricional del huevo por favor.,5,nutrition_info,10.0,es,gustar contenido nutricional huevo favor,10,5,50.0
¿Cuál es el contenido nutricional de los nuggets de pollo?,5,nutrition_info,7.0,es,ser contenido nutricional nugget pollo,10,5,50.0
dame la información nutricional de la pechuga de pollo,5,nutrition_info,8.0,es,dame informacion nutricional pechuga pollo,9,5,44.44444444444444
¿Cuál es la información nutricional del bistec?,5,nutrition_info,6.0,es,ser informacion nutricional bistec,7,4,42.857142857142854
¿Puedes decirme el contenido nutricional de los nuggets de pollo?,5,nutrition_info,10.0,es,decirme contenido nutricional nugget pollo,10,5,50.0
¿Cuál es la información nutricional de la lechuga iceberg?,5,nutrition_info,7.0,es,ser informacion nutricional lechuga iceberg,9,5,44.44444444444444
¿Qué tipo de contenido nutricional tienen las zanahorias?,5,nutrition_info,8.0,es,tipo contenido nutricional zanahoria,8,4,50.0
información nutricional del apio,5,nutrition_info,4.0,es,informacion nutricional apio,4,3,25.0
¿Cuáles son los datos nutricionales de los gofres?,5,nutrition_info,7.0,es,ser dato nutricional gofr,8,4,50.0
¿Puedes decirme la información nutricional de la salchicha de cerdo?,5,nutrition_info,10.0,es,decirme informacion nutricional salchicha cerdo,10,5,50.0
¿Cuál es la información nutricional de una manzana?,5,nutrition_info,7.0,es,ser informacion nutricional manzana,8,4,50.0
¿Cuál es la información nutricional de la pechuga de pollo?,5,nutrition_info,7.0,es,ser informacion nutricional pechuga pollo,10,5,50.0
¿Cuál es la información nutricional de un plátano?,5,nutrition_info,7.0,es,ser informacion nutricional platano,8,4,50.0
¿Cuál es la información nutricional de una hamburguesa con queso?,5,nutrition_info,7.0,es,ser informacion nutricional hamburguesa queso,10,5,50.0
¿Cuál es la información nutricional de una barra de pan?,5,nutrition_info,9.0,es,ser informacion nutricional barra pan,10,5,50.0
nutrición del puré de papa,5,nutrition_info,3.0,es,nutricion pure patata,5,3,40.0
información nutricional del puré de patatas,5,nutrition_info,5.0,es,informacion nutricional pure patata,6,4,33.33333333333333
¿Cuáles son los datos nutricionales del puré de patatas?,5,nutrition_info,8.0,es,ser dato nutricional pure patata,9,5,44.44444444444444
¿El puré de patatas es una buena nutrición?,5,nutrition_info,5.0,es,pure patata ser buen nutricion,8,5,37.5
dame la información nutricional del puré de papa,5,nutrition_info,8.0,es,dame informacion nutricional pure patata,8,5,37.5
¿Qué tan saludables son las manzanas?,5,nutrition_info,4.0,es,saludable ser manzana,6,3,50.0
quiero saber si la pizza es saludable,5,nutrition_info,8.0,es,querer piza ser saludable,7,4,42.857142857142854
¿Puedes decirme qué tan saludables son las manzanas?,5,nutrition_info,8.0,es,decir yo saludable ser manzana,8,5,37.5
¿Son saludables los platos de pasta?,5,nutrition_info,4.0,es,ser saludable plato pasta,6,4,33.33333333333333
¿Conoces la información nutricional de las uvas?,5,nutrition_info,8.0,es,conoz informacion nutricional uva,7,4,42.857142857142854
Debo saber la información nutricional de las uvas.,5,nutrition_info,8.0,es,deber informacion nutricional uva,8,4,50.0
¿Qué tipo de datos nutricionales tienen las uvas?,5,nutrition_info,7.0,es,tipo dato nutricional uva,8,4,50.0
dime la nutrición de las uvas,5,nutrition_info,6.0,es,dime nutricion uva,6,3,50.0
¿Puedes mostrarme la información nutricional de las uvas?,5,nutrition_info,9.0,es,mostrarme informacion nutricional uva,8,4,50.0
Quiero saber la información nutricional de los nuggets de pollo.,5,nutrition_info,10.0,es,querer informacion nutricional nugget pollo,10,5,50.0
dime la información nutricional de los nuggets de pollo,5,nutrition_info,8.0,es,dime informacion nutricional nugget pollo,9,5,44.44444444444444
"información nutricional para nuggets de pollo, por favor",5,nutrition_info,6.0,es,informacion nutricional nuggets pollo favor,8,5,37.5
¿Puedes decirme la información nutricional de los nuggets de pollo?,5,nutrition_info,10.0,es,decirme informacion nutricional nugget pollo,10,5,50.0
Me gustaría que compartieras conmigo la información nutricional de los nuggets de pollo.,5,nutrition_info,14.0,es,gustar compartieras informacion nutricional nugget pollo,13,6,53.84615384615385
Quiero saber qué tan nutritivo suele ser un aguacate.,5,nutrition_info,10.0,es,querer nutritivo soler ser aguacate,9,5,44.44444444444444
¿Puedes darme información nutricional de las naranjas?,5,nutrition_info,8.0,es,dar yo informacion nutricional naranja,7,5,28.57142857142857
¿Puedes decirme cuántas calorías tiene una manzana?,5,nutrition_info,11.0,es,decirme caloria manzana,7,3,57.14285714285714
